id,name,type
soca,South Carolina National Heritage Corridor,National Heritage Corridor
spar,Springfield Armory National Historic Site,National Historic Site
stsp,Star-Spangled Banner National Historic Trail,National Historic Trail
stli,Statue Of Liberty National Monument,National Monument
stea,Steamtown National Historic Site,National Historic Site
stri,Stones River National Battlefield,National Battlefield
ston,Stonewall National Monument,National Monument
sucr,Sunset Crater Volcano National Monument,National Monument
tapr,Tallgrass Prairie National Preserve,National Preserve
tecw,Tennessee Civil War National Heritage Area,National Heritage Area
thko,Thaddeus Kosciuszko National Memorial,National Memorial
qush,The Last Green Valley National Heritage Corridor,National Heritage Corridor
thrb,Theodore Roosevelt Birthplace National Historic Site,National Historic Site
thri,Theodore Roosevelt Inaugural National Historic Site,National Historic Site
this,Theodore Roosevelt Island,
thro,Theodore Roosevelt National Park,National Park
thco,Thomas Cole National Historic Site,National Historic Site
edis,Thomas Edison National Historical Park,National Historical Park
thje,Thomas Jefferson Memorial,
thst,Thomas Stone National Historic Site,National Historic Site
tica,Timpanogos Cave National Monument,National Monument
timu,Timucuan Ecological & Historic Preserve,Ecological & Historic Preserve
tont,Tonto National Monument,National Monument
tosy,Touro Synagogue National Historic Site,National Historic Site
trte,Trail Of Tears National Historic Trail,National Historic Trail
tule,Tule Lake Unit,
tusk,Tule Springs Fossil Beds National Monument,National Monument
tuma,Tumac�cori National Historical Park,National Historical Park
tupe,Tupelo National Battlefield,National Battlefield
tuai,Tuskegee Airmen National Historic Site,National Historic Site
tuin,Tuskegee Institute National Historic Site,National Historic Site
tuzi,Tuzigoot National Monument,National Monument
ulsg,Ulysses S Grant National Historic Site,National Historic Site
upde,Upper Delaware Scenic & Recreational River,Scenic & Recreational River
uphv,Upper Housatonic Valley National Heritage Area,National Heritage Area
vall,Valles Caldera National Preserve,National Preserve
vafo,Valley Forge National Historical Park,National Historical Park
vama,Vanderbilt Mansion National Historic Site,National Historic Site
vick,Vicksburg National Military Park,National Military Park
vive,Vietnam Veterans Memorial,Memorial
vicr,Virgin Islands Coral Reef National Monument,National Monument
viis,Virgin Islands National Park,National Park
voya,Voyageurs National Park,National Park
waco,Waco Mammoth National Monument,National Monument
waca,Walnut Canyon National Monument,National Monument
wapa,War In The Pacific National Historical Park,National Historical Park
wamo,Washington Monument,
waro,Washington-Rochambeau National Historic Trail,National Historic Trail
waba,Washita Battlefield National Historic Site,National Historic Site
wefa,Weir Farm National Historic Site,National Historic Site
whee,Wheeling National Heritage Area,National Heritage Area
whis,Whiskeytown National Recreation Area,National Recreation Area
whsa,White Sands National Monument,National Monument
whmi,Whitman Mission National Historic Site,National Historic Site
wiho,William Howard Taft National Historic Site,National Historic Site
wicr,Wilson's Creek National Battlefield,National Battlefield
wica,Wind Cave National Park,National Park
wing,Wing Luke Museum Affiliated Area,Affiliated Area
wotr,Wolf Trap National Park for the Performing Arts,National Park
wori,Women's Rights National Historical Park,National Historical Park
wwii,World War II Memorial,
valr,World War II Valor in the Pacific National Monument,National Monument
wrst,Wrangell - St Elias National Park & Preserve,National Park & Preserve
wrbr,Wright Brothers National Memorial,National Memorial
wupa,Wupatki National Monument,National Monument
yell,Yellowstone National Park,National Park
york,Yorktown Battlefield Part of Colonial National Historical Park,Part of Colonial National Historical Park
yose,Yosemite National Park,National Park
yuho,Yucca House National Monument,National Monument
yuch,Yukon - Charley Rivers National Preserve,National Preserve
zion,Zion National Park,National Park
