name,size
LAKE CHELAN NRA WA PW ,"61,946.27"
KOREAN WAR VETERANS MEM DC NC ,1.56
LAKE CLARK NP AK A ,"2,619,816.49"
LAKE CLARK N PRESERVE AK A ,"1,410,293.68"
KLONDIKE GOLD RUSH NHP AK-WA A ,"12,996.49"
KOBUK VALLEY NP AK A ,"1,750,716.16"
KNIFE RIVER INDIAN VIL NH ND MW ,"1,748.80"
LAKE MEAD NRA AZ-NV PW ,"1,495,805.53"
LBJ MEM GROVE ON THE POTOMAC DC NC ,17
LAKE ROOSEVELT NRA WA ,"100,390.31"
LAKE MEREDITH NRA TX IM ,"44,977.63"
LAVA BEDS NM CA PW ,"46,692.42"
LASSEN VOLCANIC NP CA PW ,"106,589.02"
JOHN MUIR NHS CA PW ,344.14
JOHN DAY FOS BEDS NM OR PW ,"14,062.02"
JOSHUA TREE NP CA PW ,"790,635.74"
JOHNSTOWN FLOOD NMEM PA NE ,177.76
JEFFERSON N EXPAN MEM MO-IL MW ,192.83
KINGS MT NMP SC SE ,"3,945.29"
JIMMY CARTER NHS GA SE ,72.21
JEWEL CAVE NM SD MW ,"1,273.51"
KALAUPAPA NHP HI PW ,"10,778.88"
KENNESAW MT NBP GA SE ,"2,894.29"
KENAI FJORDS NP AK A ,"669,650.05"
KINGS CANYON NP CA PW ,"461,901.20"
KEWEENAW NHP MI MW ,"1,869.40"
KATAHDIN WOODS AND WATERS NM ME NE ,"87,564.27"
KALOKO-HONOKOHAU NHP HI PW ,"1,163.05"
KATMAI NP AK A ,"3,674,529.33"
KATMAI N PRESERVE AK A ,"418,698.80"
MESA VERDE NP CO IM ,"52,485.17"
MARTIN VAN BUREN NHS NY NE ,284.93
MINUTE MAN NHP MA NE ,"1,027.76"
MINIDOKA NHS ID PW ,396.3
MARSH-BILLINGS-ROCKEFELLER N VT NE ,643.07
MARTIN L KING,38.7
MARTIN L KING,2.74
MINUTEMAN MISSILE NHS SD MW ,43.8
MONTEZUMA CASTLE NM AZ IM ,"1,015.52"
MISSOURI N REC RIVER SD-NE MW ,"48,456.55"
MISSISSIPPI N RVR & RA MN MW ,"53,775.00"
MONOCACY NB MD NC ,"1,647.01"
MOJAVE NATIONAL PRESERVE CA PW ,"1,542,775.80"
LITTLE BIGHORN BATTLEFLD MT IM ,765.34
LINCOLN MEMORIAL DC NC ,7.29
LITTLE ROCK CENTRAL HS NH AR MW ,27.28
LITTLE RIVER CANYON AL SE ,"15,288.53"
LEWIS AND CLARK NHP OR-WA PW ,"3,410.15"
MANZANAR NHS CA PW ,813.81
LINCOLN HOME NHS IL MW ,12.24
LINCOLN BOYHOOD NMEM IN MW ,199.96
LONGFELLOW HOUSE-WASH HQ NHS MA NE ,1.98
MAMMOTH CAVE NP KY SE ,"52,830.19"
MAGGIE L WALKER NHS VA NE ,1.29
MANHATTAN PROJECT NHP NM-TN-WA IM ,113.61
MANASSAS NBP VA NC ,"5,072.63"
LOWER ST CROIX NSR MN-WI MW ,"25,276.45"
LOWELL NHP MA NE ,141.29
M MCLEOD BETHUNE HOUSE NHS DC NC ,0.07
LYNDON B JOHNSON NHP TX IM ,"1,570.15"
NORTH CASCADES NP WA PW ,"504,780.94"
NOATAK N PRESERVE AK A ,"6,587,071.39"
OBED WILD & SCENIC RVR TN SE ,"5,432.69"
NP OF AMERICAN SAMOA SAMOA PW ,"8,256.67"
NICODEMUS NHS KS MW ,17.52
NIOBRARA N,"29,101.02"
NINETY SIX NHS SC SE ,"1,021.94"
OCMULGEE NM GA SE ,703.7
PADRE ISLAND NS TX IM ,"130,434.27"
OREGON CAVES NM & PRES OR PW ,"4,554.03"
OLYMPIC NP WA PW ,"922,650.10"
OZARK NS RIVERWAYS MO MW ,"80,785.04"
ORGAN PIPE CACTUS NM AZ IM ,"330,688.86"
MUIR WOODS NM CA PW ,553.55
MT RUSHMORE NMEM SD MW ,"1,278.45"
NATCHEZ TRACE NS TRAIL TN-MS-AL SE ,"10,995.00"
NATCHEZ NHP MS SE ,108.3
MOORES CREEK NB NC SE ,87.75
NEZ PERCE NHP MT-ID-OR-WA PW ,"4,564.93"
MT RAINIER NP WA PW ,"236,381.64"
MORRISTOWN NHP NJ NE ,"1,710.72"
NATCHEZ TRACE PKWY TN-MS-AL SE ,"52,302.00"
NEW BEDFORD WHALING MA NE ,34
NAVAJO NM AZ IM ,360
NEW RIVER GORGE N RVR WV NE ,"72,185.76"
NEW ORLEANS JAZZ NHP LA SE ,5.13
NATIONAL MALL DC NC ,155.84
NATIONAL CAPITAL PARKS DC-MD NC ,"8,693.37"
NATURAL BRIDGES NM UT IM ,"7,636.49"
NATIONAL WWII MEMORIAL DC NC ,8.25
PU'UHONUA O HONAUNAU HI PW ,419.8
PULLMAN NM IL MW ,0.4
R REAGAN BOYHOOD HOME NHS IL MW ,1.01
PUUKOHOLA HEIAU NHS HI PW ,86.24
POVERTY POINT NM LA SE ,910.85
PRINCE WM FOREST PARK VA NC ,"16,080.82"
PRESIDENT WJ CLINTON BP NHS AR MW ,0.68
RAINBOW BRIDGE NM UT IM ,160
ROCK CREEK PARK DC NC ,"1,755.21"
RICHMOND NBP VA NE ,"8,169.69"
REDWOOD NP CA PW ,"138,999.37"
RIVER RAISIN NBP MI MW ,42.18
RIO GRANDE WILD & SR TX IM ,"9,600.00"
PENNSYLVANIA AVE NHS DC NC ,17.61
PECOS NHP NM IM ,"6,694.18"
PETERSBURG NB VA NE ,"2,739.72"
PERRY'S VIC & INT PEACE M OH MW ,25.38
PALO ALTO BTLFLD NHP TX IM ,"3,441.74"
POTOMAC HERITAGE NST PA TO VA NC ,0
PEA RIDGE NMP AR MW ,"4,300.35"
PATERSON GREAT FALLS NHP NJ NE ,51.32
PETRIFIED FOREST NP AZ IM ,"221,415.77"
PISCATAWAY PARK MD NC ,"4,626.37"
PIPESTONE NM MN MW ,281.78
PORT CHICAGO NAVAL MAG N MEM CA PW ,5
POINT REYES NS CA PW ,"71,055.41"
PICTURED ROCKS NL MI MW ,"73,235.83"
PETROGLYPH NM NM IM ,"7,209.30"
PIPE SPRING NM AZ IM ,40
PINNACLES NP CA PW ,"26,685.73"
SEQUOIA NP CA PW ,"404,062.63"
SCOTTS BLUFF NM NE MW ,"3,004.73"
SHILOH NMP TN-MS SE ,"7,921.52"
SHENANDOAH NP VA NE ,"199,195.27"
SANTA MONICA MTS NRA CA PW ,"156,671.18"
SAUGUS IRON WORKS NHS MA NE ,8.51
SARATOGA NHP NY NE ,"3,579.14"
SITKA NHP AK A ,116.29
STATUE OF LIBERTY NM NY-NJ NE ,58.38
SPRINGFIELD ARMORY NHS MA NE ,54.93
SLEEPING BEAR DUNES NL MI MW ,"71,205.06"
ST PAUL'S CHURCH NHS NY NE ,6.13
ST CROIX ISLAND IHS ME NE ,6.5
RUSSELL CAVE NM AL SE ,310.45
ROSS LAKE NRA WA PW ,"117,574.59"
SAGUARO NP AZ IM ,"91,715.72"
SAGAMORE HILL NHS NY NE ,83.02
ROCKY MT NP CO IM ,"265,795.20"
SAND CREEK MASSACRE NHS CO IM ,"12,583.34"
ROSIE THE RIVETER NHP CA PW ,145.19
ROGER WILLIAMS NMEM RI NE ,4.56
SAINT CROIX NSR MN-WI MW ,"67,466.63"
SAN FRAN MARITIME NHP CA PW ,49.86
SAN ANTONIO MISSIONS NHP TX IM ,947.73
SAN JUAN NHS PR SE ,75.13
SAN JUAN ISLAND NHP WA PW ,"2,145.56"
SALEM MARITIME NHS MA NE ,9.02
SAINT-GAUDENS NHS NH NE ,190.75
SALT RVR BAY NHP VI SE ,989.42
SALINAS PUEBLO MSNS NM NM IM ,"1,071.42"
TUZIGOOT NM AZ IM ,811.89
TUSKEGEE INSTITUTE NHS AL SE ,57.92
UPPER DEL SCENIC & R RVR NY-PA NE ,"74,999.56"
ULYSSES S GRANT NHS MO MW ,9.6
TUMACACORI NHP AZ IM ,360.32
TUSKEGEE AIRMEN NHS AL SE ,89.68
TUPELO NB MS SE ,1
VALLES CALDERA N PRES NM IM ,"89,766.09"
VIRGIN ISLANDS CORAL REEF VI SE ,"12,708.07"
VANDERBILT MANSION NHS NY NE ,211.65
VALLEY FORGE NHP PA NE ,"3,467.70"
VIETNAM VETERANS MEM DC NC ,2.18
VICKSBURG NMP MS-LA SE ,"1,802.18"
T KOSCIUSZKO NMEM PA NE ,0.02
SUNSET CRATER VOLC NM AZ IM ,"3,040.00"
T ROOSEVELT INAUG NHS NY NE ,1.18
T ROOSEVELT BIRTHPLACE NHS NY NE ,0.11
STEAMTOWN NHS PA NE ,62.48
TULE SPRINGS FOSSIL BEDS NM NV PW ,"22,650.00"
STONEWALL NM NY NE ,7.7
STONES RIVER NB TN SE ,709.46
T ROOSEVELT ISLAND DC NC ,88.5
TIMPANOGOS CAVE NM UT IM ,250
THOMAS STONE NHS MD NE ,328.25
TONTO NM AZ IM ,"1,120.00"
TIMUCUAN ECO & H PRES FL SE ,"46,262.67"
TALLGRASS PRAIRIE NPRE KS MW ,"10,882.67"
T ROOSEVELT NP ND MW ,"70,446.89"
THOMAS JEFFERSON MEM DC NC ,18.36
THOMAS EDISON NHP NJ NE ,21.25
WORLD WAR I NMEM DC NC ,1.39
WRANGELL-ST ELIAS N PRES AK A ,"4,852,644.52"
WRANGELL-ST ELIAS NP AK A ,"8,323,146.48"
WOMEN'S RIGHTS NHP NY NE ,7.44
ZION NP UT IM ,"147,237.02"
WIND CAVE NP SD MW ,"33,970.84"
WOLF TRAP NP FOR PERF ARTS VA NC ,130.28
YOSEMITE NP CA PW ,"761,747.50"
YUCCA HOUSE NM CO IM ,33.87
YUKON-CHARLEY RIVERS N PR AK A ,"2,526,512.44"
YELLOWSTONE NP ID-MT-WY IM ,"2,219,790.71"
WRIGHT BROTHERS NMEM NC SE ,428.44
WUPATKI NM AZ IM ,"35,422.13"
WWII VALOR IN THE PACIFIC NM HI-CA PW ,59.03
WALNUT CANYON NM AZ IM ,"3,529.26"
WAR IN THE PACIFIC NHP GUAM PW ,"2,030.65"
WASHINGTON MONUMENT DC NC ,106.01
WACO MAMMOTH NM TX IM ,107.23
WILSONS CREEK NB MO MW ,"2,368.10"
VIRGIN ISLANDS NP VI SE ,"14,948.46"
VOYAGEURS NP MN MW ,"218,200.15"
WHITE SANDS NM NM IM ,"143,733.25"
WHITMAN MISSION NHS WA PW ,138.53
WILLIAM H TAFT NHS OH MW ,3.64
WHITE HOUSE DC NC ,18.07
WASHITA BATTLEFIELD NHS OK IM ,315.2
WEIR FARM NHS CT NE ,74.2
WHISKEYTOWN-S-T NRA CA ,"42,503.25"
